_id,name_en,name_kn
213,BASALE GREENS,ಬಸಳೆಸೊಪ್ಪು
214,GARLIC 100 GRAM BOX,ಬೆಳ್ಳುಳ್ಳಿ 100 ಗ್ರಾಂ ಬಾಕ್ಸ್
215,GARLIC,ಬೆಳ್ಳುಳ್ಳಿ
216,GARLIC CLEANED,ಬೆಳ್ಳುಳ್ಳಿ (ಬಿಡಿಸಿದ್ದು)
217,CHIKADI KAI,ಚಪ್ಪರದ ಅವರೆಕಾಯಿ
218,KNOL KHOL,ನವಿಲುಕೋಸು
219,AREVE GREEN,ಅರಿವೆ ಸೊಪ್ಪು
220,EGG,ಮೊಟ್ಟೆ ಒಂದಕ್ಕೆ
221,CHAKKOTA GREENS,ಚಕ್ಕೋತ ಸೊಪ್ಪು
222,APPLE NEWZEALAND GALA,ಸೇಬು ನ್ಯೂಜಿಲಾಂಡ್ ಗಾಲ
223,POTATO PACK,ಟಮೊಟೊ ಪ್ಯಾಕೆಟ್
224,chilk avera,ಚಿಲಕರಿವೆಸೊಪ್ಪು
225,COWPEA KAI,ಅಲಸಂದೆ ಕಾಯಿ
226,BABY CORN,ಬೇಬಿಕಾರನ್
227,BABY CORN CLEAN,ಬೇಬಿಕಾರನ್ (ಬಿಡಿಸಿದ್ದು)
228,Apple Ber,ಆ್ಯಪಲ್ ಬೇ್ರ್
229,BERRY GOLDEN,ಗೋಲ್ಡನ್ ಬೆರಿ
230,Onion cleaned,ಈರುಳ್ಳಿ ಬಿಡಿಸಿದ್ದು
231,OOTY BERRY,ಊಟಿ ಬೆರಿ
232,SANDOWS GREEN BERRY,ಸಂದೌಸ್ ಗ್ರೀನ್ ಬೆರಿ
233,BERRY SOFT,ಬೆರಿ ಸಾಫ್ಟ್
234,GREEN BERRY,ಬೆರಿ ಡೆಲ್ಲಿ
235,Maize,ಮುಸಕಿನ ಜೋಳ
236,CHERRY FRUIT 100 gram,ಚೆರ್ರಿ ಫ್ರೂಟ್ 100 ಗ್ರಾಂ
237,CHERRY KASHMIR,ಚೆರ್ರಿ ಕಾಶ್ಮೀರ
238,CASHEWNUT100 gram,ಗೋಡಂಬಿ ಬೀಜ 100 ಗ್ರಾಂ
239,DATES 200 GM,ಡೇಟ್ಸ್ 200 ಗ್ರಾಂ
240,KIMIA DATES,ಒಣಗಿದ ಡೇಟ್ಸ್
241,DATES SEEDLESS,ಬೀಜವಿಲ್ಲದ ಡೇಟ್ಸ್
242,DRY DATES 200 GM,ಒಣಗಿದ ಜಲ್ದರುಹಣ್ಣು
243,BADAMI 100 GM,ಒಣಗಿದ ಬಾದಾಮಿ 100 ಗ್ರಾಂ
244,DRY GRAPES 100GMS,ಒಣಗಿದ ದ್ರಾಕ್ಷಿ 100 ಗ್ರಾಂ
245,JELLY,ಜೆಲ್ಲಿ
246,SUGAR CANE RED AND BLACK,ಕಬ್ಬು ಕೆಂಪು ಮತ್ತು ಕಪ್ಪು
247,KF 2 litre,ಕೆ ಫ್ 2 ಲೀಟರ್
248,KIWI FRUIT,ಕಿವಿಫ್ರೂಟ್ಸ್
249,LITCHI LOCAL,ಸ್ಥಳೀಯ ಲಿಚಿ ಹಣ್ಣು
250,LITCHI THAIWAN / CHAINA,ಲಿಟ್ಚಿ ತೈವಾನ್/ ಚೈನಾ
251,STRAWBERRY BOX,ಸ್ಟ್ರಾಬೆರಿ ಬಾಕ್ಸ್
252,TENDER COCONUT,ಎಳೆಯ ತೆಂಗಿನಕಾಯಿ
